TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
행정구역(시군구)별 성별 인구수,202401,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,277090,M,11200,성동구,Seongdong-gu,2024-02-01
행정구역(시군구)별 성별 인구수,202402,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,276952,M,11200,성동구,Seongdong-gu,2024-03-04
행정구역(시군구)별 성별 인구수,202403,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,276964,M,11200,성동구,Seongdong-gu,2024-04-01
행정구역(시군구)별 성별 인구수,202404,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,276847,M,11200,성동구,Seongdong-gu,2024-05-07
행정구역(시군구)별 성별 인구수,202405,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,276767,M,11200,성동구,Seongdong-gu,2024-06-03
행정구역(시군구)별 성별 인구수,202306,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,135723,M,11200,성동구,Seongdong-gu,2023-07-06
행정구역(시군구)별 성별 인구수,202307,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,135562,M,11200,성동구,Seongdong-gu,2023-08-11
행정구역(시군구)별 성별 인구수,202308,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,135346,M,11200,성동구,Seongdong-gu,2023-09-04
행정구역(시군구)별 성별 인구수,202309,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,135143,M,11200,성동구,Seongdong-gu,2023-10-05
행정구역(시군구)별 성별 인구수,202310,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,134979,M,11200,성동구,Seongdong-gu,2023-11-03
행정구역(시군구)별 성별 인구수,202311,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,134760,M,11200,성동구,Seongdong-gu,2023-12-11
행정구역(시군구)별 성별 인구수,202312,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,134519,M,11200,성동구,Seongdong-gu,2024-01-04
행정구역(시군구)별 성별 인구수,202401,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,134390,M,11200,성동구,Seongdong-gu,2024-02-01
행정구역(시군구)별 성별 인구수,202402,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,134278,M,11200,성동구,Seongdong-gu,2024-03-04
행정구역(시군구)별 성별 인구수,202403,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,134232,M,11200,성동구,Seongdong-gu,2024-04-01
행정구역(시군구)별 성별 인구수,202404,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,134161,M,11200,성동구,Seongdong-gu,2024-05-07
행정구역(시군구)별 성별 인구수,202405,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,134096,M,11200,성동구,Seongdong-gu,2024-06-03
행정구역(시군구)별 성별 인구수,202306,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,143651,M,11200,성동구,Seongdong-gu,2023-07-06
행정구역(시군구)별 성별 인구수,202307,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,143580,M,11200,성동구,Seongdong-gu,2023-08-11
행정구역(시군구)별 성별 인구수,202308,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,143404,M,11200,성동구,Seongdong-gu,2023-09-04
